Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
1462;690;1681;598;432;194;93;927;876;250;107;1;171
1463;474;1682;539;412;191;83;786;651;276;101;1;171
1464;508;1682;553;409;178;87;811;680;250;89;1;171
1465;651;1698;542;395;183;87;877;821;278;105;1;171
1466;527;1700;532;410;186;85;754;702;259;106;1;171
1467;587;1716;573;408;186;87;854;703;268;107;1;171
1468;601;1724;571;400;182;82;825;697;265;99;1;171
1469;596;1734;567;422;184;86;843;688;279;112;1;171
1470;638;1766;557;425;191;89;877;769;268;95;1;171
1471;466;1524;578;333;173;72;693;614;245;83;1;172
1472;395;1546;531;358;164;84;706;615;231;93;1;172
1473;392;1546;543;353;177;77;746;602;235;84;1;172
1474;478;1552;552;365;177;91;747;661;242;103;1;172
1475;493;1559;543;386;176;85;793;633;246;100;1;172
1476;544;1560;542;414;172;87;850;718;250;95;1;172
1477;433;1579;514;370;165;79;727;620;247;95;1;172
1478;490;1585;531;386;177;81;833;692;253;96;1;172
1479;488;1595;564;369;165;81;761;667;252;97;1;172
1480;548;1607;546;399;172;87;852;685;250;100;1;172
1481;609;1624;586;424;175;77;872;708;268;102;1;172
1482;596;1660;552;405;186;90;868;732;263;106;1;172
1483;524;1661;545;379;184;79;838;665;263;102;1;172
1484;513;1682;550;407;192;87;838;697;274;102;1;172
1485;670;1725;579;423;184;91;894;710;262;110;1;172
1486;579;1756;549;414;201;82;874;691;286;102;1;172
1487;355;1456;533;344;158;72;698;608;237;91;1;173
1488;353;1479;505;361;171;76;715;582;229;98;1;173
1489;457;1497;527;380;162;72;598;694;232;93;1;173
1490;444;1515;536;346;179;76;762;706;239;95;1;173
1491;419;1531;538;360;171;79;747;610;240;97;1;173
1492;660;1562;553;414;169;81;939;895;238;97;1;173
1493;419;1587;542;362;179;82;728;622;258;105;1;173
1494;468;1591;543;387;173;80;788;668;251;103;1;173
1495;527;1628;535;393;176;87;773;671;237;102;1;173
1496;483;1653;553;379;181;84;802;722;278;101;1;173
1497;542;1673;547;388;180;82;800;670;259;102;1;173
1498;548;1687;552;416;181;82;841;688;268;99;1;173
1499;732;1696;564;450;191;87;918;825;260;99;1;173
1500;577;1744;545;395;189;87;835;748;273;105;1;173
1501;391;1464;524;356;160;77;773;632;237;98;1;174
1502;432;1528;566;363;166;80;736;676;243;95;1;174
1503;449;1580;559;378;172;84;714;665;248;94;1;174
1504;504;1598;532;385;173;79;782;670;240;103;1;174
1505;534;1623;560;392;183;88;823;694;264;104;1;174
1506;611;1624;564;424;177;84;897;756;260;103;1;174
1507;540;1653;547;390;174;76;834;705;248;98;1;174
1508;644;1679;555;413;186;94;899;741;263;106;1;174
1509;735;1690;553;439;199;87;934;881;278;100;1;174
1510;715;1695;579;401;172;76;923;818;260;108;1;174
1511;661;1700;566;452;189;91;950;895;266;101;1;174
1512;398;1460;539;358;163;73;733;647;237;90;1;175
1513;449;1549;555;358;172;80;758;664;248;101;1;175
1514;455;1553;529;370;175;80;798;665;242;92;1;175
1515;563;1577;550;414;170;81;867;798;238;95;1;175
1516;540;1625;560;382;182;82;809;672;256;98;1;175
1517;495;1628;556;396;179;86;803;639;256;106;1;175
1518;610;1629;547;425;193;92;883;710;269;114;1;175
1519;540;1631;569;398;170;87;810;691;246;98;1;175
1520;526;1641;543;373;194;89;748;707;267;99;1;175
1521;465;1644;577;364;181;84;756;610;241;93;1;175
1522;708;1644;542;432;185;88;915;863;262;101;1;175
1523;526;1655;550;399;180;91;788;665;254;107;1;175
1524;518;1674;542;392;178;78;804;681;260;101;1;175
1525;618;1721;532;415;186;88;862;716;261;107;1;175
1526;634;1737;578;437;181;85;899;778;254;101;1;175
1527;656;1738;545;424;188;87;879;742;275;105;1;175
1528;402;1487;524;358;159;80;729;616;234;99;1;176
1529;356;1496;541;348;179;76;710;597;247;85;1;176
1530;439;1560;542;369;175;85;759;662;239;100;1;176
1531;468;1575;522;365;163;79;790;671;258;96;1;176
1532;534;1613;571;387;174;79;805;699;247;100;1;176
1533;457;1624;517;365;175;84;725;634;257;100;1;176
1534;460;1631;546;361;179;81;745;663;257;94;1;176
1535;508;1635;546;380;183;83;781;687;245;95;1;176
