Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
-3;119;855;479;224;93;45;473;457;129;58;1;24
-2;142;879;497;276;96;48;548;510;135;63;1;24
-1;152;909;481;239;104;52;523;493;144;57;1;24
0;129;872;504;239;102;44;489;479;136;56;1;25
1;118;874;461;235;103;45;470;461;137;61;1;25
2;148;875;505;252;101;51;513;467;132;61;1;25
3;121;899;496;246;104;53;498;472;145;60;1;25
4;102;813;497;213;87;42;464;422;116;56;1;26
5;120;858;494;242;94;50;481;475;130;55;1;26
6;129;865;504;211;105;53;480;471;136;62;1;26
7;129;881;485;239;86;43;491;459;139;62;1;26
8;126;886;512;224;98;52;471;464;133;59;1;26
9;143;895;484;250;112;54;507;493;153;64;1;27
10;124;878;489;236;101;51;503;459;141;62;1;28
11;122;885;480;237;100;50;509;448;138;60;1;28
12;128;887;504;233;91;50;490;444;129;61;1;28
13;127;920;487;240;104;52;491;450;142;60;1;28
14;131;921;487;227;101;56;479;448;151;63;1;28
15;107;833;458;213;93;46;450;428;128;56;1;29
16;138;876;494;238;88;53;502;486;132;62;1;29
17;140;885;494;233;106;50;517;461;144;60;1;29
18;120;889;494;230;95;50;492;421;137;61;1;29
19;117;893;480;227;95;44;482;457;137;56;1;29
20;124;930;488;233;105;49;462;479;153;60;1;29
21;141;938;522;227;104;54;498;433;154;61;1;29
22;145;944;531;246;106;56;507;492;154;66;1;29
23;143;912;512;240;105;50;528;502;141;60;1;30
24;140;931;494;242;105;50;505;461;150;67;1;30
25;147;935;498;235;106;51;520;505;153;61;1;30
26;148;951;483;258;105;53;523;487;150;61;1;30
27;148;974;510;245;107;59;492;506;155;66;1;30
28;158;981;511;260;111;54;522;508;159;67;1;30
29;194;1029;519;257;126;59;537;509;178;64;1;30
30;137;929;494;238;106;53;513;484;146;58;1;31
31;146;930;488;235;108;53;532;505;144;63;1;31
32;123;885;460;232;96;42;471;460;138;53;1;32
33;154;965;513;269;118;52;521;552;163;67;1;32
34;188;993;500;274;123;59;562;571;174;72;1;32
35;135;893;488;230;100;49;505;488;138;65;1;33
36;140;933;503;243;107;51;492;512;143;63;1;33
37;130;959;492;241;109;54;515;448;154;61;1;33
38;164;972;516;262;107;49;528;514;155;60;1;33
39;122;884;493;244;101;46;484;437;145;57;1;34
40;133;910;497;251;109;51;520;468;146;59;1;34
41;132;918;508;228;102;51;492;487;141;60;1;34
42;149;941;495;229;108;60;510;486;153;67;1;34
43;150;943;495;248;107;51;518;509;150;62;1;34
44;148;948;490;237;110;60;505;444;159;67;1;34
45;147;950;505;251;111;53;529;483;162;62;1;34
46;127;890;501;235;97;46;495;472;130;59;1;35
47;140;917;510;250;109;51;516;449;148;62;1;35
48;131;924;518;237;102;51;512;469;145;58;1;35
49;120;908;498;235;99;47;504;440;143;56;1;36
50;140;913;511;250;106;50;524;499;141;62;1;36
51;141;944;504;245;108;52;493;460;151;69;1;36
52;151;950;525;244;115;56;496;481;152;62;1;36
53;140;953;488;258;112;51;500;515;161;62;1;36
54;156;962;504;254;116;52;502;499;156;64;1;36
55;153;985;494;265;117;52;542;498;161;66;1;36
56;162;997;501;245;117;57;531;506;161;64;1;36
57;155;1002;515;257;108;53;527;485;156;63;1;36
58;166;1004;484;269;111;56;532;525;155;67;1;36
59;167;1004;539;260;111;60;535;499;158;67;1;36
60;172;1006;524;265;113;56;549;519;157;67;1;36
61;164;1017;530;259;120;58;528;502;163;72;1;36
62;192;1070;514;269;122;55;561;527;169;69;1;36
63;203;1085;538;287;117;56;587;556;167;70;1;36
64;136;936;482;236;96;49;485;449;149;58;1;37
65;145;944;485;243;106;47;499;474;146;58;1;37
66;149;947;482;237;101;53;514;482;154;64;1;37
67;157;972;527;252;113;50;513;479;158;69;1;37
68;155;976;472;263;119;56;547;514;156;72;1;37
69;160;983;511;269;118;51;532;479;154;56;1;37
70;205;994;530;276;117;61;575;606;169;70;1;37
71;125;909;501;241;107;49;507;453;141;60;1;38
72;132;918;477;247;108;45;498;485;147;55;1;38
73;146;925;495;254;106;50;531;512;151;62;1;38
74;129;934;493;239;113;52;485;421;158;59;1;38
75;137;939;500;235;105;53;531;482;147;63;1;38
76;136;946;476;241;110;53;488;442;151;60;1;38
77;148;947;485;248;103;50;508;495;144;59;1;38
78;145;955;489;231;108;50;501;494;143;59;1;38
79;172;1004;519;272;116;55;535;519;159;66;1;38
80;146;930;516;248;104;49;494;500;154;59;1;39
81;148;963;510;248;113;55;507;504;157;65;1;39
82;163;970;511;245;118;54;541;476;158;65;1;39
83;157;973;523;249;109;52;538;552;151;63;1;39
84;150;984;500;232;106;52;529;513;151;58;1;39
85;174;987;499;273;113;56;557;509;160;67;1;39
86;153;997;520;248;115;52;502;505;157;68;1;39
87;187;1003;515;271;126;59;547;506;162;71;1;39
88;167;1006;512;262;113;55;532;507;160;64;1;39
89;138;908;525;231;110;45;534;519;150;60;1;40
90;134;941;507;249;101;52;503;459;150;61;1;40
91;145;959;508;261;111;52;514;496;164;64;1;40
92;161;972;514;270;116;57;535;482;149;64;1;40
93;140;972;508;247;102;52;508;470;153;59;1;40
94;148;987;501;246;109;56;495;478;161;67;1;40
95;146;988;508;249;111;50;515;474;149;60;1;40
96;143;999;506;252;109;50;510;460;151;66;1;40
97;207;1025;502;289;110;55;602;579;155;65;1;40
98;160;1036;517;261;119;56;539;487;165;69;1;40
99;137;924;494;254;100;49;494;473;148;57;1;41
100;150;972;503;253;114;55;520;471;146;63;1;41
101;159;976;517;258;105;54;522;495;154;64;1;41
102;137;980;498;240;111;51;500;448;154;67;1;41
103;148;981;507;240;111;51;531;462;145;67;1;41
104;151;983;513;236;109;55;491;478;154;70;1;41
105;155;989;519;251;115;57;509;474;165;70;1;41
106;154;998;499;254;108;53;530;472;150;63;1;41
107;169;1021;512;260;114;60;536;489;166;67;1;41
108;207;1061;535;272;121;59;573;569;168;68;1;41
109;148;936;507;248;104;51;513;487;147;64;1;42
110;147;946;487;248;107;52;518;468;150;60;1;42
111;132;961;508;232;108;53;497;459;150;59;1;42
112;147;983;508;243;102;55;496;489;156;63;1;42
113;176;985;513;277;119;57;555;525;153;70;1;42
114;184;1055;505;274;124;55;536;502;179;66;1;42
115;131;954;497;227;108;50;503;451;146;62;1;43
116;137;965;482;240;107;49;471;462;148;64;1;43
117;168;971;501;267;110;54;522;482;155;64;1;43
118;153;978;518;248;116;59;523;472;163;65;1;43
119;144;982;490;222;101;55;498;472;147;57;1;43
120;143;984;510;247;110;54;489;472;157;62;1;43
121;138;989;472;236;102;48;472;435;159;67;1;43
122;155;991;495;228;110;55;514;504;160;64;1;43
123;154;994;537;257;111;53;518;491;157;63;1;43
124;170;1006;517;268;119;53;540;528;160;63;1;43
125;196;1032;502;285;127;56;557;552;176;66;1;43
126;185;1037;522;255;117;55;525;521;168;70;1;43
127;179;1039;512;268;117;51;554;555;164;64;1;43
128;140;936;497;255;108;53;503;465;143;61;1;44
129;143;943;504;231;104;51;531;479;149;55;1;44
130;140;986;500;245;111;52;525;474;151;60;1;44
131;179;987;513;279;114;55;558;503;164;66;1;44
132;157;997;512;253;107;56;533;505;158;68;1;44
133;144;997;493;252;115;54;512;470;157;60;1;44
134;158;1014;521;238;115;52;541;472;164;63;1;44
135;158;1016;523;254;111;51;541;514;161;63;1;44
136;162;1022;514;268;118;57;525;487;161;66;1;44
137;177;1035;498;275;121;49;546;507;173;71;1;44
138;126;925;492;236;97;51;463;423;144;56;1;45
139;132;932;503;246;109;55;482;471;147;60;1;45
140;138;957;465;260;111;52;500;448;149;65;1;45
141;152;957;505;252;110;56;523;497;177;68;1;45
142;174;1001;497;277;111;54;550;525;163;67;1;45
143;158;1011;519;253;114;55;534;465;155;68;1;45
144;149;1012;522;251;120;55;518;487;167;66;1;45
145;163;1013;503;247;108;54;540;501;157;63;1;45
146;152;938;510;258;109;52;532;531;150;64;1;46
147;136;950;510;243;106;49;502;462;155;56;1;46
148;140;959;519;237;105;55;501;483;155;58;1;46
149;142;978;494;236;111;51;516;462;158;63;1;46
150;142;979;503;238;112;55;514;493;163;65;1;46
151;142;987;494;231;103;49;491;447;154;62;1;46
152;154;993;502;241;105;52;529;479;142;58;1;46
153;157;1001;503;256;112;60;505;491;155;64;1;46
154;158;1005;497;270;113;55;544;504;162;67;1;46
155;165;1020;511;256;112;54;532;500;156;70;1;46
156;161;1022;498;242;113;54;524;479;166;66;1;46
157;177;1025;502;276;123;58;563;514;164;67;1;46
158;163;1034;509;263;116;56;527;493;148;68;1;46
159;156;1060;511;235;111;47;510;453;154;61;1;46
160;123;909;495;220;102;49;494;460;154;63;1;47
161;152;997;501;249;117;53;523;472;163;63;1;47
162;136;999;478;244;110;51;495;444;161;64;1;47
163;144;1000;485;265;114;50;543;474;163;62;1;47
164;156;1002;503;252;105;53;528;491;163;67;1;47
165;142;1002;500;245;120;51;519;470;154;64;1;47
166;127;1004;505;248;106;50;488;420;157;61;1;47
167;178;1015;501;263;119;63;557;501;168;72;1;47
168;174;1019;503;268;112;54;531;502;161;69;1;47
169;156;1035;490;266;119;55;538;503;167;61;1;47
170;163;1054;514;258;113;51;528;498;161;67;1;47
171;164;1063;509;263;118;54;511;484;165;63;1;47
172;210;1099;529;270;118;61;575;533;163;68;1;47
173;165;953;499;263;113;52;551;517;151;64;1;48
174;151;987;522;264;112;56;546;482;157;69;1;48
175;139;988;509;238;108;52;492;457;154;63;1;48
176;163;1019;508;251;117;52;536;510;157;68;1;48
177;176;1035;544;265;115;52;543;520;149;63;1;48
178;196;1055;523;273;124;58;562;528;177;71;1;48
179;157;949;505;254;104;52;534;489;154;64;1;49
180;150;1003;499;259;112;55;532;506;162;63;1;49
181;178;1008;497;262;116;55;547;506;166;62;1;49
182;173;1024;489;277;115;52;519;482;170;68;1;49
183;174;1032;508;277;120;56;566;532;171;66;1;49
184;163;1052;503;256;113;49;544;481;163;69;1;49
185;162;1063;492;252;114;56;536;457;158;70;1;49
186;149;988;488;248;111;53;509;468;158;68;1;50
187;154;995;503;245;113;56;562;483;161;66;1;50
188;184;1007;499;277;119;55;560;551;161;64;1;50
189;139;1011;502;253;116;53;483;446;160;62;1;50
190;153;1021;520;252;116;51;522;469;156;61;1;50
191;162;1030;504;254;113;59;533;492;154;67;1;50
192;179;1038;504;265;124;61;569;528;169;70;1;50
193;184;1058;523;276;122;61;565;527;171;77;1;50
194;165;1067;530;253;123;54;575;470;163;62;1;50
195;188;1089;510;277;119;56;536;505;176;70;1;50
196;218;1106;521;285;125;61;613;542;183;76;1;50
197;125;959;516;249;109;55;492;458;161;70;1;51
198;145;979;506;243;109;51;500;472;155;62;1;51
199;149;987;522;249;112;51;502;481;156;64;1;51
200;150;1009;498;246;116;53;499;502;159;66;1;51
201;154;1019;531;239;113;54;524;490;159;64;1;51
202;175;1036;512;265;106;57;536;497;165;68;1;51
203;176;1039;506;273;121;56;564;498;163;67;1;51
204;178;1049;518;260;112;54;530;533;160;62;1;51
205;170;1060;504;254;114;62;532;493;168;69;1;51
206;175;1065;500;267;123;55;565;487;172;65;1;51
207;170;972;510;286;111;52;560;517;155;69;1;52
208;165;1019;510;250;111;54;529;479;163;66;1;52
209;163;1039;498;242;114;55;537;476;166;63;1;52
210;181;1046;530;265;118;56;546;538;168;59;1;52
211;172;1074;525;263;118;53;517;477;164;63;1;52
212;182;1078;499;273;118;56;546;487;170;73;1;52
213;185;1086;529;247;123;60;539;517;178;71;1;52
214;132;999;496;237;116;53;509;459;161;62;1;53
215;149;1003;500;250;113;52;509;508;156;64;1;53
216;176;1033;498;284;116;59;547;491;161;68;1;53
217;182;1034;515;282;118;58;556;502;170;72;1;53
218;152;1051;494;243;118;57;525;469;167;64;1;53
219;191;1057;528;285;125;59;584;531;162;72;1;53
220;181;1065;515;279;121;59;572;487;163;68;1;53
221;227;1119;528;294;128;62;605;585;171;73;1;53
222;210;1124;520;293;131;60;565;529;189;71;1;53
223;204;1131;511;275;139;59;572;522;182;78;1;53
224;216;1133;537;283;136;65;577;480;183;76;1;53
225;153;995;508;249;108;50;510;492;150;62;1;54
226;176;1020;504;267;117;55;544;509;162;64;1;54
227;151;1021;481;255;115;54;499;446;156;63;1;54
228;153;1038;507;248;118;56;511;486;166;69;1;54
229;189;1063;528;260;118;56;554;520;167;67;1;54
230;176;1063;509;267;118;54;546;504;171;70;1;54
231;173;1078;510;265;126;60;534;498;172;73;1;54
232;207;1102;515;282;121;55;592;591;176;74;1;54
233;181;1113;509;276;116;56;548;498;181;70;1;54
234;196;1138;514;277;128;55;564;518;182;69;1;54
235;141;965;498;254;109;56;525;450;147;63;1;55
236;137;968;510;253;110;52;509;492;159;63;1;55
237;157;1016;503;253;116;59;546;522;156;63;1;55
238;162;1041;501;259;121;53;529;481;170;66;1;55
239;168;1046;505;266;126;55;537;506;170;73;1;55
240;178;1056;518;259;116;54;551;533;161;65;1;55
241;169;1062;501;258;107;51;542;508;156;60;1;55
242;165;1070;510;239;117;53;541;518;168;71;1;55
243;170;1077;491;280;119;56;558;493;176;68;1;55
244;166;1086;508;267;128;58;509;461;172;65;1;55
245;182;1107;496;274;126;59;556;481;180;71;1;55
246;188;1122;522;280;123;54;576;526;182;72;1;55
247;138;1008;487;240;110;55;501;463;156;62;1;56
248;173;1039;514;265;120;56;538;471;173;69;1;56
249;169;1045;526;265;130;54;554;512;171;63;1;56
250;177;1050;499;268;110;55;534;512;157;72;1;56
251;168;1062;508;269;115;55;548;483;169;61;1;56
252;178;1065;506;260;115;59;547;503;166;68;1;56
253;162;1074;507;254;118;49;529;459;177;71;1;56
254;171;1078;500;260;117;55;536;510;170;67;1;56
255;156;1081;515;249;117;55;510;476;168;69;1;56
256;201;1086;528;283;118;54;552;574;176;69;1;56
257;222;1116;552;291;122;59;633;550;180;69;1;56
258;229;1148;519;286;138;64;578;547;193;75;1;56
259;154;990;508;272;113;53;532;470;157;69;1;57
260;146;1006;486;261;110;52;504;446;164;61;1;57
261;179;1056;506;288;121;66;532;515;176;76;1;57
262;187;1058;503;266;121;57;583;490;168;70;1;57
263;163;1058;501;268;124;55;536;523;166;69;1;57
264;203;1064;512;280;115;59;564;582;174;69;1;57
265;186;1089;515;269;124;54;533;516;170;66;1;57
266;176;1092;509;261;122;55;553;501;171;71;1;57
267;188;1093;520;275;126;57;584;515;178;70;1;57
268;200;1094;507;276;121;60;556;510;175;70;1;57
269;165;1096;499;261;109;53;524;459;167;69;1;57
270;197;1099;506;267;122;60;552;517;173;75;1;57
271;222;1100;519;280;116;64;586;580;178;70;1;57
272;217;1133;524;285;129;62;589;531;182;77;1;57
273;168;979;483;261;114;51;551;538;151;65;1;58
274;147;1001;517;248;106;50;523;472;155;62;1;58
275;160;1008;506;261;113;54;552;484;157;69;1;58
276;169;1050;509;261;109;53;530;500;167;66;1;58
277;162;1052;521;261;117;53;541;513;168;67;1;58
278;165;1063;501;249;121;59;531;469;165;69;1;58
279;182;1068;504;285;125;59;561;520;178;68;1;58
280;178;1076;500;274;119;58;555;477;170;72;1;58
281;176;1079;504;277;117;56;558;495;160;68;1;58
282;187;1087;527;256;127;58;570;572;170;69;1;58
283;189;1089;511;275;125;59;559;498;171;70;1;58
284;194;1095;495;281;117;63;577;497;178;76;1;58
285;202;1112;538;272;122;59;572;537;180;70;1;58
286;227;1114;529;278;122;64;585;565;170;75;1;58
287;190;1126;512;273;124;56;530;493;180;73;1;58
288;159;1041;482;260;113;53;520;444;158;61;1;59
289;191;1061;522;275;122;61;569;528;167;69;1;59
290;188;1076;510;274;115;53;554;530;170;67;1;59
291;200;1119;523;282;129;63;585;525;182;76;1;59
292;194;1125;532;271;115;57;574;532;168;71;1;59
293;200;1127;528;281;127;63;567;506;183;73;1;59
294;200;1127;548;275;128;57;572;505;176;70;1;59
295;255;1244;537;304;137;66;621;570;199;78;1;59
296;255;1244;537;304;137;66;621;570;199;78;1;59
297;159;1014;505;252;113;50;543;507;148;61;1;60
298;163;1045;500;260;115;55;550;486;161;62;1;60
299;176;1050;503;268;122;58;540;517;169;66;1;60
300;158;1061;516;256;55;55;518;445;169;63;1;60
301;172;1083;523;250;114;51;536;469;170;67;1;60
302;190;1088;506;277;124;55;579;528;160;65;1;60
303;200;1091;522;276;118;59;556;510;173;71;1;60
304;187;1092;505;270;124;57;540;506;177;70;1;60
305;187;1094;507;256;120;58;575;493;174;69;1;60
306;201;1098;525;279;118;58;598;516;169;68;1;60
307;191;1106;502;272;131;57;587;538;178;67;1;60
308;202;1109;512;295;125;60;590;538;175;75;1;60
309;164;1055;506;247;120;54;530;491;168;65;1;61
310;184;1090;543;266;121;58;574;531;173;66;1;61
311;195;1091;518;277;122;58;568;544;164;70;1;61
312;162;1098;516;262;127;57;543;476;171;62;1;61
313;164;1103;482;271;125;57;542;455;172;68;1;61
314;194;1121;508;261;124;61;551;503;178;73;1;61
315;176;1123;502;280;129;57;532;437;173;68;1;61
316;195;1124;522;265;130;58;568;535;185;73;1;61
317;204;1132;501;298;120;60;573;526;174;76;1;61
318;186;1139;506;255;124;58;537;515;180;69;1;61
319;208;1151;508;284;132;52;593;514;185;71;1;61
320;230;1153;504;294;131;64;601;578;186;79;1;61
321;212;1169;543;277;132;60;562;581;182;74;1;61
322;173;1079;504;268;119;60;538;464;168;72;1;62
323;182;1085;519;262;122;54;537;510;170;67;1;62
324;191;1086;526;270;120;58;575;512;172;67;1;62
325;186;1092;514;270;123;59;552;528;168;72;1;62
326;182;1093;518;268;129;60;551;494;176;71;1;62
327;174;1095;528;268;118;59;533;492;171;69;1;62
328;200;1097;520;277;120;59;560;478;169;67;1;62
329;175;1103;506;259;130;56;531;490;165;65;1;62
330;198;1107;502;272;115;54;571;547;165;68;1;62
331;178;1120;528;268;124;59;555;492;168;75;1;62
332;186;1122;511;261;127;55;565;500;173;68;1;62
333;210;1156;508;280;125;61;575;527;181;73;1;62
334;279;1195;535;314;127;62;634;620;190;77;1;62
335;157;1034;500;253;117;53;514;512;160;66;1;63
336;164;1055;506;263;115;56;535;509;160;66;1;63
337;164;1061;486;257;120;55;503;489;163;63;1;63
338;164;1086;502;257;116;54;525;442;169;65;1;63
339;234;1161;514;290;129;61;565;551;188;73;1;63
340;251;1195;533;299;130;63;603;563;202;77;1;63
341;154;1028;512;263;116;51;544;469;162;65;1;64
342;169;1039;502;263;116;55;547;515;168;59;1;64
343;167;1040;505;254;114;55;542;509;158;67;1;64
344;185;1071;518;257;125;58;555;520;170;70;1;64
345;173;1081;537;263;128;56;563;501;163;68;1;64
346;174;1094;514;261;118;54;562;529;168;64;1;64
347;177;1096;508;251;121;58;525;478;170;66;1;64
348;190;1106;539;284;129;60;589;507;178;69;1;64
349;188;1113;506;276;117;57;558;513;176;67;1;64
350;200;1113;518;273;120;56;564;516;176;71;1;64
351;211;1114;514;286;124;55;587;550;174;71;1;64
352;200;1121;520;277;118;59;559;557;170;77;1;64
353;154;1024;503;248;113;53;530;496;157;67;1;65
354;155;1033;501;246;106;53;507;507;157;66;1;65
355;167;1074;483;248;114;56;524;457;172;69;1;65
356;191;1090;526;254;129;55;555;509;171;68;1;65
357;200;1090;514;272;112;60;569;521;175;73;1;65
358;195;1112;516;270;122;58;553;512;169;71;1;65
359;207;1119;503;277;126;63;612;582;175;74;1;65
360;188;1119;518;268;128;56;558;510;183;72;1;65
361;196;1121;499;275;124;61;549;502;179;69;1;65
362;186;1137;509;275;130;59;550;532;184;77;1;65
363;206;1139;513;286;128;60;564;545;183;75;1;65
364;205;1150;522;280;129;63;595;540;181;72;1;65
365;167;1052;504;260;121;55;527;482;176;67;1;66
366;195;1095;537;287;127;59;561;527;169;65;1;66
367;187;1096;531;261;128;54;560;527;168;68;1;66
368;200;1125;501;268;123;59;576;502;170;68;1;66
369;213;1128;504;292;129;64;586;541;175;70;1;66
370;207;1133;511;288;130;63;582;511;184;77;1;66
371;193;1163;529;278;123;59;567;510;179;65;1;66
372;235;1167;516;313;136;64;631;554;195;75;1;66
373;264;1197;519;318;133;65;642;525;194;78;1;66
374;232;1198;528;283;143;62;605;556;189;78;1;66
375;204;1077;491;288;123;59;564;496;180;73;1;67
376;200;1134;509;291;125;60;583;524;176;75;1;67
377;226;1195;539;288;129;61;590;524;196;77;1;67
378;275;1263;544;310;143;64;621;577;209;74;1;67
379;148;1061;489;231;119;52;505;456;159;64;1;68
380;169;1076;493;260;115;52;550;503;168;64;1;68
381;168;1080;524;272;112;55;569;501;164;69;1;68
382;194;1095;533;275;127;60;549;479;177;72;1;68
383;230;1179;529;311;144;66;612;562;201;77;1;68
384;225;1241;529;290;138;65;596;519;192;77;1;68
385;183;1054;508;271;110;61;563;502;153;67;1;69
386;172;1076;487;272;122;58;540;506;177;69;1;69
387;184;1104;481;273;130;61;528;459;183;78;1;69
388;190;1112;517;279;119;57;557;483;167;75;1;69
389;175;1113;494;267;124;56;519;467;176;69;1;69
390;195;1119;503;269;127;59;541;525;182;77;1;69
391;181;1121;530;266;130;54;536;458;176;72;1;69
392;200;1124;517;250;124;60;562;513;173;74;1;69
393;225;1127;523;296;132;64;619;569;173;72;1;69
394;188;1136;518;274;133;59;562;530;179;73;1;69
395;214;1143;523;288;120;61;578;523;174;75;1;69
396;233;1155;530;288;133;62;595;538;189;77;1;69
397;220;1166;522;288;133;62;604;569;183;74;1;69
398;262;1181;517;306;136;62;659;628;192;79;1;69
399;222;1202;528;281;132;59;596;526;183;73;1;69
400;320;1284;572;324;154;71;673;635;215;82;1;69
401;156;1049;488;257;122;54;518;451;167;66;1;70
402;170;1074;498;274;114;56;547;499;160;69;1;70
403;196;1098;526;276;122;59;539;479;172;69;1;70
404;179;1099;505;266;121;58;560;498;174;72;1;70
405;192;1109;509;278;136;61;591;545;187;73;1;70
406;200;1147;493;262;128;62;561;522;177;70;1;70
407;191;1148;499;269;130;61;556;520;174;67;1;70
408;222;1159;518;293;133;63;593;506;177;78;1;70
409;222;1187;540;303;133;61;609;516;193;58;1;70
410;168;1060;532;254;117;52;529;511;163;64;1;71
411;171;1101;490;278;122;56;542;444;172;71;1;71
412;199;1109;527;272;118;58;569;499;178;73;1;71
413;194;1118;518;287;128;59;572;473;180;70;1;71
414;217;1129;531;286;121;62;558;511;183;74;1;71
415;204;1137;500;278;119;55;548;526;171;73;1;71
416;196;1140;521;290;128;61;564;512;178;77;1;71
417;220;1146;541;293;127;63;596;541;180;74;1;71
418;184;1150;504;265;120;58;545;484;175;70;1;71
419;249;1244;512;313;135;65;588;548;206;76;1;71
420;156;1029;503;267;114;52;527;466;165;63;1;72
421;172;1104;523;252;120;53;567;512;176;65;1;72
422;175;1110;509;265;123;57;551;493;176;66;1;72
423;201;1116;519;277;127;56;698;512;178;74;1;72
424;201;1125;522;275;124;60;568;524;173;72;1;72
425;179;1127;471;247;122;58;556;463;172;69;1;72
426;207;1133;527;274;124;60;565;528;175;71;1;72
427;200;1150;525;278;118;61;556;495;173;74;1;72
428;195;1151;533;275;126;59;570;513;179;70;1;72
429;184;1160;514;273;122;59;547;499;178;69;1;72
430;231;1178;538;287;138;65;601;541;178;79;1;72
431;200;1180;537;283;130;59;540;525;181;69;1;72
432;200;1104;523;279;120;60;580;510;186;72;1;73
433;214;1111;540;286;121;61;602;549;166;66;1;73
434;196;1127;486;279;122;57;530;493;181;75;1;73
435;219;1169;511;289;128;60;599;534;184;73;1;73
436;209;1170;518;281;130;64;591;520;188;75;1;73
437;234;1208;522;300;142;66;606;561;195;79;1;73
438;253;1246;539;317;143;65;623;526;192;78;1;73
439;325;1265;521;342;151;68;669;644;203;79;1;73
440;208;1118;520;279;123;55;578;502;176;68;1;74
441;201;1146;525;298;130;59;557;538;177;71;1;74
442;200;1164;493;281;131;61;558;511;183;72;1;74
443;201;1183;485;284;131;65;552;465;185;68;1;74
444;233;1192;507;287;133;65;592;543;190;73;1;74
445;235;1207;517;318;141;69;601;540;194;78;1;74
446;189;1135;502;262;127;58;580;502;173;69;1;75
447;185;1146;505;267;129;59;536;452;178;71;1;75
448;212;1164;512;298;128;62;596;495;194;70;1;75
449;208;1164;496;290;126;56;591;488;179;74;1;75
450;226;1170;533;275;135;59;541;539;190;79;1;75
451;214;1174;517;295;128;65;592;540;187;81;1;75
452;212;1175;525;280;131;64;594;535;190;76;1;75
453;198;1181;523;281;127;62;560;523;178;71;1;75
454;203;1186;512;276;139;60;573;545;190;70;1;75
455;215;1191;514;264;121;59;576;483;182;73;1;75
456;261;1207;527;300;131;63;622;570;185;83;1;75
457;280;1253;515;310;147;64;628;594;195;81;1;75
458;243;1282;520;305;148;63;593;537;212;76;1;75
459;220;1185;512;274;129;66;592;543;178;75;1;76
460;201;1188;529;268;125;58;553;503;180;69;1;76
461;278;1211;513;311;139;63;636;587;199;81;1;76
462;306;1271;538;346;150;70;652;607;206;78;1;76
463;170;1113;498;260;128;55;543;481;170;66;1;77
464;201;1158;537;278;136;60;576;502;182;66;1;77
465;218;1164;515;315;129;64;603;516;174;78;1;77
466;203;1175;510;295;126;61;581;497;175;67;1;77
467;235;1176;508;297;129;65;591;552;188;77;1;77
468;206;1184;502;282;129;61;545;507;184;75;1;77
469;210;1186;545;289;124;60;604;516;188;71;1;77
470;188;1192;510;256;135;55;522;502;176;71;1;77
471;224;1221;512;285;134;58;601;539;195;73;1;77
472;252;1238;511;322;135;62;643;549;191;77;1;77
473;198;1152;511;263;120;56;563;506;175;72;1;78
474;207;1169;497;271;129;62;543;443;168;74;1;78
475;209;1176;521;282;125;62;559;506;188;78;1;78
476;219;1182;565;291;132;61;618;546;188;74;1;78
477;229;1193;504;290;128;61;577;547;189;77;1;78
478;211;1195;527;277;122;56;589;479;174;67;1;78
479;224;1200;526;274;131;61;565;518;185;74;1;78
480;222;1206;514;290;134;66;595;504;188;76;1;78
481;220;1215;493;299;130;62;588;490;193;78;1;78
482;227;1226;527;291;136;64;583;564;186;71;1;78
483;329;1236;544;343;147;63;664;631;203;75;1;78
484;255;1243;533;313;136;64;622;579;197;74;1;78
485;175;1090;484;269;127;58;538;498;171;71;1;79
486;192;1132;513;286;127;56;578;529;175;70;1;79
487;213;1182;501;287;136;64;584;539;186;77;1;79
488;194;1186;487;291;127;58;568;506;177;70;1;79
489;229;1205;488;295;135;63;614;540;205;78;1;79
490;227;1209;535;282;124;63;581;534;177;69;1;79
491;223;1223;525;273;127;64;588;546;187;69;1;79
492;240;1230;510;304;148;69;641;535;210;82;1;79
493;230;1231;513;301;128;63;594;542;186;80;1;79
494;246;1250;538;303;140;63;608;525;201;79;1;79
495;174;1089;502;260;112;54;517;492;166;67;1;80
496;221;1170;542;268;132;60;609;512;183;72;1;80
497;214;1177;504;279;123;60;592;513;178;73;1;80
498;198;1195;488;274;127;59;567;489;184;73;1;80
499;275;1250;533;316;134;66;631;552;187;80;1;80
500;228;1270;528;294;136;66;592;512;201;76;1;80
501;327;1250;523;353;132;63;728;701;203;78;1;81
502;274;1284;557;320;144;71;648;563;204;83;1;81
503;265;1309;537;311;159;67;632;558;227;80;1;81
504;295;1320;517;317;150;72;629;559;215;87;1;81
505;209;1126;495;294;126;60;586;546;179;73;1;82
506;222;1154;527;281;131;62;560;509;179;73;1;82
507;192;1163;522;283;129;60;523;479;166;70;1;82
508;200;1166;498;273;128;56;569;518;189;68;1;82
509;245;1192;512;307;139;65;606;503;187;84;1;82
510;412;1204;532;383;142;74;765;752;209;92;1;82
511;253;1250;530;316;139;65;663;529;200;85;1;82
512;288;1297;508;326;135;67;645;533;193;82;1;82
513;214;1180;532;280;132;67;578;513;180;80;1;83
514;206;1182;530;284;126;62;604;528;188;73;1;83
515;224;1198;513;288;124;59;612;532;178;72;1;83
