INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070945,619,Larceny,LARCENY ALL OTHERS,D14,808,,2018-09-02 13:00:00,2018,9,Sunday,13,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)"
I182070933,724,Auto Theft,AUTO THEFT,B2,330,,2018-09-03 21:25:00,2018,9,Monday,21,Part One,NORMANDY ST,42.30607218,-71.0827326,"(42.30607218, -71.08273260)"
I182070931,301,Robbery,ROBBERY - STREET,C6,177,,2018-09-03 20:48:00,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182070915,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,181,,2018-09-02 18:00:00,2018,9,Sunday,18,Part One,SHIRLEY ST,42.3256949,-71.06816778,"(42.32569490, -71.06816778)"
I182070908,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,2018-09-03 18:38:00,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I182070904,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,242,,2018-09-03 18:34:00,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
I182070900,2629,Harassment,HARASSMENT,B3,464,,2018-09-03 18:17:00,2018,9,Monday,18,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I182070898,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-03 19:11:00,2018,9,Monday,19,Part Two,SALISBURY PARK,42.29928376,-71.059172,"(42.29928376, -71.05917200)"
I182070897,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,,2018-09-03 18:37:00,2018,9,Monday,18,Part Two,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)"
I182070893,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,,2018-09-03 18:44:00,2018,9,Monday,18,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I182070892,613,Larceny,LARCENY SHOPLIFTING,B2,276,,2018-09-03 17:54:00,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)"
I182070885,619,Larceny,LARCENY ALL OTHERS,B3,456,,2018-09-03 17:17:00,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
I182070875,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,116,,2018-09-03 16:55:00,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)"
I182070874,617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,,2018-09-03 16:00:00,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182070868,616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,,2018-09-03 06:15:00,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.3353997,-71.15025675,"(42.33539970, -71.15025675)"
I182070858,2629,Harassment,HARASSMENT,E18,547,,2018-09-03 14:00:00,2018,9,Monday,14,Part Two,DEFOREST ST,42.2675628,-71.1297447,"(42.26756280, -71.12974470)"
I182070856,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-03 14:31:00,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
I182070854,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,257,,2018-09-03 15:27:00,2018,9,Monday,15,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
I182070852,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,706,,2018-09-02 12:30:00,2018,9,Sunday,12,Part Two,VERSHIRE ST,42.27169454,-71.14650799,"(42.27169454, -71.14650799)"
I182070847,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,,2018-09-03 13:07:00,2018,9,Monday,13,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182070846,613,Larceny,LARCENY SHOPLIFTING,C11,381,,2018-09-03 14:07:00,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)"
I182070844,724,Auto Theft,AUTO THEFT,D4,154,,2018-09-03 15:01:00,2018,9,Monday,15,Part One,TREMONT ST,42.3411289,-71.07692951,"(42.34112890, -71.07692951)"
I182070838,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070834,617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,,2018-08-23 10:41:00,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)"
I182070828,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 10:00:00,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070823,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,330,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,BLUE HILL AVE,42.3078214,-71.08354076,"(42.30782140, -71.08354076)"
I182070816,619,Larceny,LARCENY ALL OTHERS,C6,185,,2018-09-03 12:45:00,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070815,423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,,2018-09-03 12:40:00,2018,9,Monday,12,Part One,CENTRE ST,42.32259354,-71.10619643,"(42.32259354, -71.10619643)"
I182070813,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,,2018-09-03 03:00:00,2018,9,Monday,3,Part One,PETERBOROUGH ST,42.34280177,-71.1006951,"(42.34280177, -71.10069510)"
I182070806,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,361,,2018-09-03 12:23:00,2018,9,Monday,12,Part One,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
I182070805,616,Larceny,LARCENY THEFT OF BICYCLE,E5,564,,2018-09-02 21:51:00,2018,9,Sunday,21,Part One,ARCHDALE RD,42.29277202,-71.12138967,"(42.29277202, -71.12138967)"
I182070804,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,756,,2018-09-03 11:00:00,2018,9,Monday,11,Part One,CHAMPNEY ST,42.3524123,-71.16878833,"(42.35241230, -71.16878833)"
I182070798,2629,Harassment,HARASSMENT,C11,450,,2018-09-03 11:36:00,2018,9,Monday,11,Part Two,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
I182070795,301,Robbery,ROBBERY - STREET,C11,362,,2018-09-02 20:30:00,2018,9,Sunday,20,Part One,LYNDHURST ST,42.29290563,-71.06955795,"(42.29290563, -71.06955795)"
I182070792,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2018-09-03 11:18:00,2018,9,Monday,11,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)"
I182070782,561,Other Burglary,BURGLARY - OTHER - ATTEMPT,E18,495,,2018-09-03 10:12:00,2018,9,Monday,10,Part One,GREENWOOD AVE,42.26597955,-71.1217959,"(42.26597955, -71.12179590)"
I182070779,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,600,,2018-09-03 10:00:00,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3375009,-71.09583094,"(42.33750090, -71.09583094)"
I182070779,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,600,,2018-09-03 10:00:00,2018,9,Monday,10,Part Two,HUNTINGTON AVE,42.3375009,-71.09583094,"(42.33750090, -71.09583094)"
I182070777,619,Larceny,LARCENY ALL OTHERS,C11,388,,2018-08-23 13:34:00,2018,8,Thursday,13,Part One,ADAMS ST,42.27230624,-71.06721386,"(42.27230624, -71.06721386)"
I182070774,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,167,,2018-09-03 09:38:00,2018,9,Monday,9,Part Two,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I182070766,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,623,,2018-09-02 20:00:00,2018,9,Sunday,20,Part One,COMMONWEALTH AVE,42.34880461,-71.09392554,"(42.34880461, -71.09392554)"
I182070759,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E5,562,,2018-09-02 16:45:00,2018,9,Sunday,16,Part One,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I182070757,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A15,50,,2018-09-03 06:23:00,2018,9,Monday,6,Part One,CAMBRIDGE ST,42.38356867,-71.0753672,"(42.38356867, -71.07536720)"
I182070741,301,Robbery,ROBBERY - STREET,D14,805,,2018-09-03 03:26:00,2018,9,Monday,3,Part One,PORTSMOUTH ST,42.36053257,-71.14426332,"(42.36053257, -71.14426332)"
I182070741,423,Aggravated Assault,ASSAULT - AGGRAVATED,D14,805,,2018-09-03 03:26:00,2018,9,Monday,3,Part One,PORTSMOUTH ST,42.36053257,-71.14426332,"(42.36053257, -71.14426332)"
I182070739,900,Arson,ARSON,B3,446,,2018-09-03 01:00:00,2018,9,Monday,1,Other,NORWELL ST,42.29828416,-71.07869447,"(42.29828416, -71.07869447)"
I182070734,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,111,,2018-09-03 01:33:00,2018,9,Monday,1,Part One,TREMONT ST,42.35428377,-71.06380404,"(42.35428377, -71.06380404)"
I182070725,801,Simple Assault,ASSAULT - SIMPLE,D14,752,,2018-09-03 02:24:00,2018,9,Monday,2,Part Two,WASHINGTON ST,42.35042609,-71.16637332,"(42.35042609, -71.16637332)"
I182070721,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,93,,2018-09-03 01:19:00,2018,9,Monday,1,Part Two,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
I182070720,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,461,,2018-09-03 01:00:00,2018,9,Monday,1,Part One,BOWDOIN AVE,42.30234412,-71.0763037,"(42.30234412, -71.07630370)"
I182070712,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,366,,2018-09-02 23:59:00,2018,9,Sunday,23,Part Two,DAWSON ST,42.28984188,-71.05843518,"(42.28984188, -71.05843518)"
I182070710,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,352,,2018-09-02 23:59:00,2018,9,Sunday,23,Part Two,DITSON ST,42.30108481,-71.06390782,"(42.30108481, -71.06390782)"
I182070708,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,166,,2018-09-03 00:17:00,2018,9,Monday,0,Part Two,SHAWMUT AVE,42.34107714,-71.0723957,"(42.34107714, -71.07239570)"
I182070707,619,Larceny,LARCENY ALL OTHERS,D14,782,,2018-09-02 23:12:00,2018,9,Sunday,23,Part One,GORDON ST,42.35293536,-71.14050052,"(42.35293536, -71.14050052)"
I182070706,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,402,,2018-09-02 23:33:00,2018,9,Sunday,23,Part One,BURT ST,42.28413536,-71.06957385,"(42.28413536, -71.06957385)"
I182070702,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,624,,2018-09-02 23:00:00,2018,9,Sunday,23,Part Two,JERSEY ST,42.34412622,-71.09760878,"(42.34412622, -71.09760878)"
I182070699,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-09-02 22:55:00,2018,9,Sunday,22,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182070698,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,244,,2018-09-02 23:13:00,2018,9,Sunday,23,Part Two,TAFT ST,42.3173029,-71.05793388,"(42.31730290, -71.05793388)"
I182070696,619,Larceny,LARCENY ALL OTHERS,D4,623,,2018-09-02 22:15:00,2018,9,Sunday,22,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I182070689,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,,2018-09-02 21:27:00,2018,9,Sunday,21,Part One,COLUMBUS AVE,42.31501293,-71.0975669,"(42.31501293, -71.09756690)"
I182070685,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,348,,2018-09-02 22:39:00,2018,9,Sunday,22,Part One,DORCHESTER AVE,42.30396336,-71.05924636,"(42.30396336, -71.05924636)"
I182070668,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,291,,2018-09-02 21:12:00,2018,9,Sunday,21,Part One,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)"
I182070668,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,291,,2018-09-02 21:12:00,2018,9,Sunday,21,Part Two,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)"
I182070667,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,490,,2018-09-02 20:00:00,2018,9,Sunday,20,Part Two,AMERICAN LEGION HWY,42.27531312,-71.11587798,"(42.27531312, -71.11587798)"
I182070663,613,Larceny,LARCENY SHOPLIFTING,B3,428,,2018-09-02 21:20:18,2018,9,Sunday,21,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)"
I182070662,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,359,,2018-09-02 20:55:14,2018,9,Sunday,20,Part Two,WASHINGTON ST,42.29417346,-71.07193797,"(42.29417346, -71.07193797)"
I182070649,613,Larceny,LARCENY SHOPLIFTING,C11,247,,2018-09-02 19:50:00,2018,9,Sunday,19,Part One,DORCHESTER AVE,42.31322413,-71.05715277,"(42.31322413, -71.05715277)"
I182070647,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,A1,127,,2018-08-28 20:53:00,2018,8,Tuesday,20,Part One,TREMONT ST,42.34868544,-71.06608848,"(42.34868544, -71.06608848)"
I182070645,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,2018-09-02 20:00:00,2018,9,Sunday,20,Part Two,TREMONT ST,42.356585,-71.06189505,"(42.35658500, -71.06189505)"
I182070638,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,624,,2018-09-02 19:21:00,2018,9,Sunday,19,Part One,BROOKLINE AVE,42.34717072,-71.09855075,"(42.34717072, -71.09855075)"
I182070636,2629,Harassment,HARASSMENT,C6,223,,2018-09-02 19:21:00,2018,9,Sunday,19,Part Two,O ST,42.33783948,-71.02929361,"(42.33783948, -71.02929361)"
I182070626,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,794,,2018-09-01 16:00:00,2018,9,Saturday,16,Part One,GLENVILLE AVE,42.3502537,-71.13336819,"(42.35025370, -71.13336819)"
I182070625,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,268,,2018-09-02 18:58:00,2018,9,Sunday,18,Part One,ADAMS ST,42.32851529,-71.07653709,"(42.32851529, -71.07653709)"
I182070621,361,Robbery,ROBBERY - OTHER,A7,23,,2018-09-02 18:09:00,2018,9,Sunday,18,Part One,MARION ST,42.37725644,-71.03667354,"(42.37725644, -71.03667354)"
I182070619,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,157,,2018-09-02 18:33:00,2018,9,Sunday,18,Part Two,SAN JUAN ST,42.34070886,-71.07473698,"(42.34070886, -71.07473698)"
I182070618,801,Simple Assault,ASSAULT - SIMPLE,E13,906,,2018-09-02 18:14:00,2018,9,Sunday,18,Part Two,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I182070610,724,Auto Theft,AUTO THEFT,B3,449,,2018-09-02 18:20:00,2018,9,Sunday,18,Part One,SPENCER ST,42.29293522,-71.07575826,"(42.29293522, -71.07575826)"
I182070607,619,Larceny,LARCENY ALL OTHERS,E18,519,,2018-08-24 00:00:00,2018,8,Friday,0,Part One,WALTER ST,42.25667872,-71.11853971,"(42.25667872, -71.11853971)"
I182070603,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-02 17:30:00,2018,9,Sunday,17,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
I182070602,616,Larceny,LARCENY THEFT OF BICYCLE,A1,103,,2018-09-02 16:31:00,2018,9,Sunday,16,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)"
I182070598,311,Robbery,ROBBERY - COMMERCIAL,A15,60,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,RUTHERFORD AVE,42.37167264,-71.06326413,"(42.37167264, -71.06326413)"
I182070596,619,Larceny,LARCENY ALL OTHERS,C6,216,,2018-09-02 17:29:00,2018,9,Sunday,17,Part One,F ST,42.33382906,-71.05128729,"(42.33382906, -71.05128729)"
I182070583,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-01 14:35:00,2018,9,Saturday,14,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182070580,617,Larceny,LARCENY THEFT FROM BUILDING,C11,337,,2018-08-25 09:00:00,2018,8,Saturday,9,Part One,PURITAN AVE,42.30736306,-71.07165237,"(42.30736306, -71.07165237)"
I182070571,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,317,,2018-09-02 14:39:00,2018,9,Sunday,14,Part One,HOMESTEAD ST,42.31014403,-71.08759179,"(42.31014403, -71.08759179)"
I182070566,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-02 14:40:00,2018,9,Sunday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070563,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,135,,2018-09-01 23:00:00,2018,9,Saturday,23,Part One,BEACON ST,42.35275712,-71.08240215,"(42.35275712, -71.08240215)"
I182070558,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,281,,2018-09-02 13:32:00,2018,9,Sunday,13,Part Two,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182070554,2629,Harassment,HARASSMENT,D14,938,,2018-06-15 00:00:00,2018,6,Friday,0,Part Two,FIDELIS WAY,42.34600287,-71.14387725,"(42.34600287, -71.14387725)"
I182070553,613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-09-02 13:20:00,2018,9,Sunday,13,Part One,WINTER ST,42.35554806,-71.0607314,"(42.35554806, -71.06073140)"
I182070549,301,Robbery,ROBBERY - STREET,B2,282,,2018-09-02 07:00:00,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182070549,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,282,,2018-09-02 07:00:00,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182070546,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,347,,2018-09-02 12:55:00,2018,9,Sunday,12,Part One,ADAMS ST,42.30569111,-71.06164783,"(42.30569111, -71.06164783)"
I182070543,616,Larceny,LARCENY THEFT OF BICYCLE,C11,398,,2018-08-31 23:00:00,2018,8,Friday,23,Part One,WELLES AVE,42.28854881,-71.06894162,"(42.28854881, -71.06894162)"
I182070532,613,Larceny,LARCENY SHOPLIFTING,E5,727,,2018-09-02 11:58:00,2018,9,Sunday,11,Part One,VFW PKWY,42.2802082,-71.17087959,"(42.28020820, -71.17087959)"
I182070525,619,Larceny,LARCENY ALL OTHERS,C11,397,,2018-09-02 11:45:00,2018,9,Sunday,11,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182070521,613,Larceny,LARCENY SHOPLIFTING,E18,525,,2018-09-02 10:39:00,2018,9,Sunday,10,Part One,TRUMAN PKWY,42.24124926,-71.12629908,"(42.24124926, -71.12629908)"
I182070520,613,Larceny,LARCENY SHOPLIFTING,E18,495,,2018-09-02 10:59:00,2018,9,Sunday,10,Part One,HYDE PARK AVE,42.26496475,-71.12123167,"(42.26496475, -71.12123167)"
I182070518,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-01 20:40:00,2018,9,Saturday,20,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182070499,619,Larceny,LARCENY ALL OTHERS,C6,186,,2018-09-02 09:17:00,2018,9,Sunday,9,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182070496,619,Larceny,LARCENY ALL OTHERS,B2,318,,2018-09-02 00:00:00,2018,9,Sunday,0,Part One,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182070491,619,Larceny,LARCENY ALL OTHERS,C11,401,,2018-09-01 18:00:00,2018,9,Saturday,18,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182070489,616,Larceny,LARCENY THEFT OF BICYCLE,D4,619,,2018-09-02 07:33:00,2018,9,Sunday,7,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182070476,619,Larceny,LARCENY ALL OTHERS,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part One,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)"
I182070476,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part Two,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)"
I182070472,301,Robbery,ROBBERY - STREET,A1,92,,2018-09-02 03:27:00,2018,9,Sunday,3,Part One,COURT ST,42.359254,-71.059477,"(42.35925400, -71.05947700)"
I182070458,801,Simple Assault,ASSAULT - SIMPLE,A7,22,,2018-09-02 02:27:00,2018,9,Sunday,2,Part Two,MARION ST,42.37575891,-71.03536688,"(42.37575891, -71.03536688)"
I182070457,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,624,,2018-09-02 02:26:00,2018,9,Sunday,2,Part Two,BOYLSTON ST,42.34489594,-71.09659186,"(42.34489594, -71.09659186)"
I182070453,801,Simple Assault,ASSAULT - SIMPLE,E5,562,,2018-09-02 02:00:00,2018,9,Sunday,2,Part Two,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I182070446,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,464,,2018-09-01 18:00:00,2018,9,Saturday,18,Part One,BROOKVIEW ST,42.2887411,-71.09117797,"(42.28874110, -71.09117797)"
I182070438,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,72,,2018-09-02 00:32:00,2018,9,Sunday,0,Part One,BOWDOIN ST,42.35832299,-71.06278436,"(42.35832299, -71.06278436)"
I182070415,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,938,,2018-09-01 22:35:00,2018,9,Saturday,22,Part Two,FIDELIS WAY,42.34531664,-71.14298078,"(42.34531664, -71.14298078)"
I182070414,613,Larceny,LARCENY SHOPLIFTING,E18,527,,2018-09-01 22:35:00,2018,9,Saturday,22,Part One,WOLCOTT SQ,42.23730137,-71.13232346,"(42.23730137, -71.13232346)"
I182070412,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,150,,2018-08-26 15:30:00,2018,8,Sunday,15,Part One,COLUMBUS AVE,42.343971,-71.077475,"(42.34397100, -71.07747500)"
I182070411,613,Larceny,LARCENY SHOPLIFTING,D4,142,,2018-09-01 21:48:00,2018,9,Saturday,21,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I182070406,619,Larceny,LARCENY ALL OTHERS,A1,103,,2018-09-01 19:45:00,2018,9,Saturday,19,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)"
I182070405,724,Auto Theft,AUTO THEFT,C11,358,,2018-09-01 22:09:00,2018,9,Saturday,22,Part One,WASHINGTON ST,42.2956968,-71.07214055,"(42.29569680, -71.07214055)"
I182070402,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,225,,2018-09-01 21:11:00,2018,9,Saturday,21,Part One,E FOURTH ST,42.33464183,-71.04250708,"(42.33464183, -71.04250708)"
I182070398,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,427,,2018-09-01 19:40:00,2018,9,Saturday,19,Part Two,BABSON ST,42.27595146,-71.09248845,"(42.27595146, -71.09248845)"
I182070397,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part One,ROBBART LN,42.24635332,-71.1136693,"(42.24635332, -71.11366930)"
I182070397,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part Two,ROBBART LN,42.24635332,-71.1136693,"(42.24635332, -71.11366930)"
I182070392,2629,Harassment,HARASSMENT,B2,239,,2018-09-01 18:46:00,2018,9,Saturday,18,Part Two,HAMLET ST,42.31841468,-71.06507314,"(42.31841468, -71.06507314)"
I182070390,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,226,,2018-09-01 20:25:00,2018,9,Saturday,20,Part Two,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)"
I182070389,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,E18,520,,2018-09-01 21:10:00,2018,9,Saturday,21,Part One,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182070380,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,119,,2018-09-01 20:40:00,2018,9,Saturday,20,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182070370,617,Larceny,LARCENY THEFT FROM BUILDING,A1,80,,2018-09-01 18:58:00,2018,9,Saturday,18,Part One,PRINCE ST,42.36531295,-71.05565803,"(42.36531295, -71.05565803)"
I182070366,613,Larceny,LARCENY SHOPLIFTING,A1,87,,2018-09-01 18:18:00,2018,9,Saturday,18,Part One,COMMERCIAL ST,42.36628674,-71.05135503,"(42.36628674, -71.05135503)"
I182070360,619,Larceny,LARCENY ALL OTHERS,A1,112,,2018-09-01 16:30:00,2018,9,Saturday,16,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)"
I182070353,612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,A1,117,,2018-09-01 14:20:00,2018,9,Saturday,14,Part One,BOYLSTON ST,42.3523411,-71.06432465,"(42.35234110, -71.06432465)"
I182070349,560,Other Burglary,BURGLARY - OTHER - FORCE,E18,519,,2018-08-27 19:20:00,2018,8,Monday,19,Part One,FAIRMOUNT AVE,42.2539599,-71.11962283,"(42.25395990, -71.11962283)"
