INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182028749,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,263,,2018-04-17 10:30:00,2018,4,Tuesday,10,Part One,BLUE HILL AVE,42.32324394,-71.07642483,"(42.32324394, -71.07642483)"
I182028746,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,106,,2018-04-17 17:20:00,2018,4,Tuesday,17,Part Two,SUMMER ST,42.35426247,-71.05883334,"(42.35426247, -71.05883334)"
I182028745,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,359,,2018-04-17 17:54:00,2018,4,Tuesday,17,Part One,HOOPER ST,42.2945837,-71.06898342,"(42.29458370, -71.06898342)"
I182028745,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,359,,2018-04-17 17:54:00,2018,4,Tuesday,17,Part Two,HOOPER ST,42.2945837,-71.06898342,"(42.29458370, -71.06898342)"
I182028741,617,Larceny,LARCENY THEFT FROM BUILDING,B2,603,,2018-04-17 15:48:00,2018,4,Tuesday,15,Part One,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182028740,613,Larceny,LARCENY SHOPLIFTING,A1,104,,2018-04-17 17:40:00,2018,4,Tuesday,17,Part One,WASHINGTON ST,42.35648631,-71.05928145,"(42.35648631, -71.05928145)"
I182028740,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,104,,2018-04-17 17:40:00,2018,4,Tuesday,17,Part Two,WASHINGTON ST,42.35648631,-71.05928145,"(42.35648631, -71.05928145)"
I182028732,2629,Harassment,HARASSMENT,D4,284,,2018-04-17 16:05:00,2018,4,Tuesday,16,Part Two,COLUMBUS AVE,42.339675,-71.0829325,"(42.33967500, -71.08293250)"
I182028731,2629,Harassment,HARASSMENT,C6,206,,2018-04-14 02:41:00,2018,4,Saturday,2,Part Two,SEAPORT BLVD,42.35265112,-71.04757739,"(42.35265112, -71.04757739)"
I182028724,613,Larceny,LARCENY SHOPLIFTING,A7,28,,2018-04-17 16:25:00,2018,4,Tuesday,16,Part One,CENTRAL SQ,42.37421104,-71.03918485,"(42.37421104, -71.03918485)"
